work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_size,salary_binned
2024,EN,CT,Other,88888,Other,0,L,0
2024,EX,FT,Other,106666,Other,100,L,0
2024,EX,FT,Other,106666,Other,100,L,0
2024,SE,FT,Data Engineer,130500,US,0,M,0
2024,SE,FT,Data Engineer,96000,US,0,M,0
2024,MI,FT,Data Scientist,166000,US,0,M,1
2024,MI,FT,Data Scientist,73100,US,0,M,0
2024,MI,FT,Machine Learning Engineer,62500,Other,0,M,0
2024,MI,FT,Machine Learning Engineer,50000,Other,0,M,0
2024,SE,FT,Data Analyst,234000,US,0,M,2
2024,SE,FT,Data Analyst,146000,US,0,M,1
2024,SE,FT,Data Engineer,125000,Other,0,M,0
2024,SE,FT,Data Engineer,125000,Other,0,M,0
2024,SE,FT,Data Scientist,65333,Other,0,M,0
2024,SE,FT,Data Scientist,46666,Other,0,M,0
2024,SE,FT,Data Engineer,105000,US,100,M,0
2024,SE,FT,Data Engineer,95000,US,100,M,0
2024,EN,FT,Data Analyst,60500,US,0,M,0
2024,EN,FT,Data Analyst,40300,US,0,M,0
2024,MI,FT,Data Analyst,160000,US,0,M,1
2024,MI,FT,Data Analyst,95000,US,0,M,0
2024,EN,FT,Data Engineer,152500,US,0,M,1
2024,EN,FT,Data Engineer,138200,US,0,M,1
2024,SE,FT,Other,164300,US,0,M,1
2024,SE,FT,Other,104000,US,0,M,0
2024,SE,FT,Data Analyst,163700,US,0,M,1
2024,SE,FT,Data Analyst,109100,US,0,M,0
2024,SE,FT,Data Engineer,130000,US,0,M,0
2024,SE,FT,Data Engineer,100000,US,0,M,0
2024,SE,FT,Machine Learning Engineer,220000,US,0,M,1
2024,SE,FT,Machine Learning Engineer,200000,US,0,M,1
2024,MI,FT,Data Engineer,115000,US,100,M,0
2024,MI,FT,Data Engineer,95000,US,100,M,0
2024,SE,FT,Other,230000,US,0,M,2
2024,SE,FT,Other,170000,US,0,M,1
2024,SE,FT,Other,250000,US,100,M,2
2024,SE,FT,Other,180700,US,100,M,1
2024,SE,FT,Other,136675,US,100,M,1
2024,SE,FT,Other,111648,US,100,M,0
2024,SE,FT,Data Engineer,81250,Other,0,M,0
2024,SE,FT,Data Engineer,81250,Other,0,M,0
2024,SE,FT,Machine Learning Engineer,254000,US,0,M,2
2024,SE,FT,Machine Learning Engineer,200000,US,0,M,1
2024,SE,FT,Data Scientist,161000,US,0,M,1
2024,SE,FT,Data Scientist,133200,US,0,M,1
2024,MI,FT,Data Engineer,106250,Other,0,M,0
2024,MI,FT,Data Engineer,106250,Other,0,M,0
2024,EN,FT,Other,160000,US,0,M,1
2024,EN,FT,Other,140000,US,0,M,1
2024,MI,FT,Machine Learning Engineer,223100,US,100,M,1
2024,MI,FT,Machine Learning Engineer,126400,US,100,M,0
2024,SE,FT,Other,190000,US,100,M,1
2024,SE,FT,Other,136000,US,100,M,1
2024,MI,FT,Other,134400,US,0,M,1
2024,MI,FT,Other,100000,US,0,M,0
2024,MI,FT,Data Engineer,246000,US,100,M,2
2024,MI,FT,Data Engineer,170000,US,100,M,1
2024,EN,FT,Other,198000,US,100,M,1
2024,EN,FT,Other,115000,US,100,M,0
2024,MI,FT,Data Scientist,150000,US,100,M,1
2024,MI,FT,Data Scientist,103000,US,100,M,0
2024,SE,FT,Data Scientist,170000,US,0,M,1
2024,SE,FT,Data Scientist,160000,US,0,M,1
2024,SE,FT,Data Analyst,175000,US,0,M,1
2024,SE,FT,Data Analyst,117000,US,0,M,0
2024,SE,FT,Data Analyst,85000,US,0,M,0
2024,SE,FT,Data Analyst,79000,US,0,M,0
2024,MI,FT,Other,100000,US,100,M,0
2024,MI,FT,Other,75000,US,100,M,0
2024,SE,FT,Data Scientist,205000,US,0,M,1
2024,SE,FT,Data Scientist,190000,US,0,M,1
2024,SE,FT,Data Engineer,331640,US,0,M,3
2024,SE,FT,Data Engineer,283780,US,0,M,2
2024,MI,FT,Other,222200,US,0,L,1
2024,MI,FT,Other,136000,US,0,L,1
2024,MI,FT,Other,117000,US,0,L,0
2024,EN,FT,Other,99000,US,0,M,0
2024,EN,FT,Other,72000,US,0,M,0
2024,MI,FT,Other,77000,US,0,M,0
2024,MI,FT,Other,49900,US,0,M,0
2024,MI,FT,Data Analyst,95000,US,0,M,0
2024,MI,FT,Data Analyst,70000,US,0,M,0
2024,MI,FT,Data Scientist,203500,US,100,M,1
2024,MI,FT,Data Scientist,133000,US,100,M,1
2024,SE,FT,Data Engineer,104000,US,0,M,0
2024,SE,FT,Data Engineer,80000,US,0,M,0
2024,MI,FT,Data Analyst,134400,US,0,M,1
2024,MI,FT,Data Analyst,100000,US,0,M,0
2024,SE,FT,Data Scientist,81250,Other,100,M,0
2024,SE,FT,Data Scientist,56250,Other,100,M,0
